@RELATION 'gasch20.names'

@ATTRIBUTE DES460_Plus_0point02%_MMS___60_min                               numeric
@ATTRIBUTE DES460_Plus_0point02%_MMS___120_min                              numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___5_min                          numeric
@ATTRIBUTE DES459_mec1__Plus_0point02%_MMS___45_min                         numeric
@ATTRIBUTE wt_plus_gamma_10_min                                             numeric
@ATTRIBUTE wt_plus_gamma_20_min                                             numeric
@ATTRIBUTE DES460_wt___mock_irradiation___5_min                             numeric
@ATTRIBUTE DES459_mec1___mock_irradiation___30_min                          numeric
@ATTRIBUTE DES460_wild_type_Plus_heat_20_min                                numeric
@ATTRIBUTE DES459_mec1_Plus_heat_20_min                                     numeric
@ATTRIBUTE MHY1_dun1_Plus_heat_20_min                                       numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type                                      numeric
@ATTRIBUTE MHY1_crt1_vs_CRY1_wild_type___log_phase                          numeric
@ATTRIBUTE class                                                            hierarchical 01,01/01,01/01/03,01/01/03/01,01/01/03/01/01,01/01/03/01/02,01/01/03/02,01/01/03/02/01,01/01/03/02/02,01/01/03/03,01/01/03/03/01,01/01/03/03/02,01/01/03/05,01/01/03/05/01,01/01/03/05/02,01/01/05,01/01/05/01,01/01/05/01/01,01/01/05/01/02,01/01/05/03,01/01/06,01/01/06/01,01/01/06/01/01,01/01/06/01/02,01/01/06/02,01/01/06/02/01,01/01/06/02/02,01/01/06/04,01/01/06/04/01,01/01/06/04/02,01/01/06/05,01/01/06/05/01,01/01/06/05/01/01,01/01/06/05/01/02,01/01/06/05/02,01/01/06/06,01/01/06/06/01,01/01/06/06/01/01,01/01/06/06/01/03,01/01/06/06/02,01/01/09,01/01/09/01,01/01/09/01/01,01/01/09/01/02,01/01/09/02,01/01/09/02/01,01/01/09/02/02,01/01/09/03,01/01/09/03/01,01/01/09/03/02,01/01/09/04,01/01/09/04/01,01/01/09/04/02,01/01/09/05,01/01/09/05/01,01/01/09/05/02,01/01/09/06,01/01/09/06/01,01/01/09/06/02,01/01/09/07,01/01/09/07/01,01/01/11,01/01/11/01,01/01/11/02,01/01/11/02/01,01/01/11/02/02,01/01/11/03,01/01/11/03/01,01/01/11/03/02,01/01/11/04,01/01/11/04/01,01/01/11/04/02,01/01/11/07,01/01/13,01/02,01/02/02,01/02/02/07,01/02/02/09,01/02/02/09/01,01/02/02/09/05,01/02/03,01/02/03/01,01/02/03/03,01/02/03/04,01/02/07,01/02/07/01,01/02/07/03,01/03,01/03/01,01/03/01/01,01/03/01/01/03,01/03/01/03,01/03/04,01/03/04/01,01/03/04/03,01/03/07,01/03/10,01/03/13,01/03/16,01/03/16/01,01/03/16/03,01/04,01/04/04,01/05,01/05/02,01/05/02/01,01/05/02/04,01/05/02/07,01/05/03,01/05/03/01,01/05/03/01/04,01/05/03/01/07,01/05/03/03,01/05/03/03/04,01/05/05,01/05/05/04,01/05/05/07,01/05/06,01/05/06/07,01/05/07,01/05/07/07,01/05/09,01/05/09/04,01/05/09/07,01/05/11,01/05/11/04,01/05/11/07,01/05/11/07/01,01/05/13,01/05/13/01,01/05/13/03,01/05/25,01/06,01/06/02,01/06/02/01,01/06/02/02,01/06/02/03,01/06/05,01/06/06,01/06/06/09,01/06/06/11,01/06/06/13,01/06/10,01/07,01/07/01,01/07/03,01/07/04,01/07/07,01/20,01/20/01,01/20/01/01,01/20/01/07,01/20/05,01/20/05/09,01/20/05/11,01/20/13,01/20/15,01/20/15/03,01/20/17,01/20/17/01,01/20/17/03,01/20/17/09,01/20/19,01/20/19/01,01/20/19/03,01/20/19/05,01/20/21,01/20/23,01/20/25,01/20/27,01/20/29,01/20/31,01/20/33,01/20/35,01/20/35/01,01/20/35/01/01,01/20/37,01/20/37/01,02,02/01,02/01/01,02/01/03,02/07,02/07/01,02/07/03,02/08,02/09,02/10,02/11,02/11/05,02/11/07,02/13,02/13/01,02/13/03,02/13/05,02/16,02/16/01,02/16/03,02/16/05,02/16/09,02/16/11,02/16/13,02/19,02/25,02/45,02/45/07,02/45/11,02/45/15,10,10/01,10/01/02,10/01/03,10/01/03/03,10/01/03/05,10/01/05,10/01/05/01,10/01/05/03,10/01/05/03/01,10/01/05/03/03,10/01/05/03/05,10/01/09,10/01/09/01,10/01/09/03,10/01/09/05,10/01/11,10/03,10/03/01,10/03/01/01,10/03/01/01/01,10/03/01/01/03,10/03/01/01/05,10/03/01/01/07,10/03/01/01/09,10/03/01/01/11,10/03/01/01/13,10/03/01/02,10/03/01/03,10/03/02,10/03/02/01,10/03/03,10/03/04,10/03/04/01,10/03/04/03,10/03/04/05,10/03/04/07,10/03/04/09,10/03/05,10/03/05/01,10/03/05/03,11,11/02,11/02/01,11/02/02,11/02/03,11/02/03/01,11/02/03/01/01,11/02/03/01/04,11/02/03/01/07,11/02/03/04,11/02/03/04/01,11/02/03/04/03,11/04,11/04/01,11/04/02,11/04/03,11/04/03/01,11/04/03/01/10,11/04/03/03,11/04/03/05,11/04/03/11,11/04/05,11/06,11/06/01,11/06/02,11/06/03,12,12/01,12/01/01,12/04,12/04/01,12/04/02,12/04/03,12/07,12/10,14,14/01,14/04,14/07,14/07/01,14/07/02,14/07/02/01,14/07/02/02,14/07/03,14/07/04,14/07/05,14/07/07,14/07/09,14/07/11,14/07/11/01,14/10,14/13,14/13/01,14/13/01/01,14/13/04,14/13/04/01,14/13/04/02,16,16/01,16/01/01,16/02,16/03,16/03/01,16/03/03,16/05,16/06,16/07,16/09,16/11,16/13,16/13/01,16/13/03,16/14,16/17,16/17/01,16/17/03,16/17/05,16/17/07,16/17/09,16/19,16/19/01,16/19/03,16/19/05,16/21,16/21/01,16/21/05,16/21/07,16/21/08,16/21/11,16/21/15,16/21/17,18,18/01,18/01/01,18/01/03,18/01/07,18/02,18/02/01,18/02/01/01,18/02/01/01/01,18/02/01/01/03,18/02/01/01/05,18/02/01/02,18/02/01/02/01,18/02/01/02/03,18/02/01/02/05,18/02/03,18/02/05,18/02/07,18/02/09,18/02/10,20,20/01,20/01/01,20/01/01/01,20/01/01/01/01,20/01/01/01/01/01,20/01/01/07,20/01/01/07/05,20/01/01/07/07,20/01/01/07/08,20/01/01/07/09,20/01/03,20/01/03/01,20/01/03/03,20/01/07,20/01/09,20/01/10,20/01/11,20/01/13,20/01/15,20/01/17,20/01/21,20/01/23,20/01/25,20/01/26,20/01/27,20/03,20/03/01,20/03/01/01,20/03/01/05,20/03/02,20/03/02/02,20/03/02/02/01,20/03/02/02/02,20/03/02/03,20/03/02/03/01,20/03/09,20/03/22,20/03/25,20/09,20/09/01,20/09/03,20/09/04,20/09/05,20/09/07,20/09/07/03,20/09/07/05,20/09/07/06,20/09/07/07,20/09/07/25,20/09/07/26,20/09/07/27,20/09/07/29,20/09/13,20/09/14,20/09/14/01,20/09/14/02,20/09/16,20/09/16/01,20/09/16/02,20/09/16/09,20/09/16/09/03,20/09/18,20/09/18/07,20/09/18/09,20/09/18/09/01,20/09/18/09/01/01,30,30/01,30/01/05,30/01/05/01,30/01/05/01/02,30/01/05/01/03,30/01/05/01/04,30/01/05/01/06,30/01/05/05,30/01/05/05/01,30/01/05/05/03,30/01/05/07,30/01/09,30/01/09/03,30/01/09/07,30/01/09/08,30/01/09/09,30/01/09/11,30/05,30/05/01,30/05/01/05,30/05/01/10,30/05/01/12,30/05/01/12/05,30/05/01/18,30/05/02,30/05/02/14,30/05/02/16,30/05/02/20,30/05/02/24,30/05/02/24/04,30/05/02/26,32,32/01,32/01/01,32/01/03,32/01/04,32/01/05,32/01/06,32/01/07,32/01/09,32/01/11,32/01/13,32/05,32/05/01,32/05/01/01,32/05/01/03,32/05/01/03/03,32/05/01/07,32/05/03,32/05/05,32/05/05/01,32/07,32/07/01,32/07/03,32/07/05,32/07/07,32/07/07/01,32/07/07/03,32/07/07/05,32/07/07/07,32/07/09,32/10,32/10/03,32/10/07,34,34/01,34/01/01,34/01/01/01,34/01/01/03,34/01/03,34/01/03/01,34/01/03/03,34/01/03/05,34/01/07,34/05,34/05/01,34/05/02,34/05/07,34/07,34/07/01,34/07/02,34/11,34/11/01,34/11/03,34/11/03/03,34/11/03/07,34/11/03/11,34/11/03/13,34/11/09,34/11/11,34/11/12,34/11/13,34/11/13/07,36,36/20,36/20/18,38,38/05,38/07,40,40/01,40/01/01,40/01/03,40/01/03/01,40/01/03/03,40/01/05,40/01/05/01,40/10,40/10/02,40/10/02/01,40/10/02/02,40/10/02/02/01,40/10/02/02/02,40/10/02/02/03,40/10/02/03,40/10/02/03/02,40/10/02/04,40/20,41,41/01,41/01/01,42,42/01,42/02,42/03,42/04,42/04/03,42/04/05,42/05,42/07,42/08,42/09,42/10,42/10/03,42/10/04,42/10/05,42/10/07,42/16,42/19,42/22,42/25,42/27,42/27/01,42/27/03,42/29,43,43/01,43/01/03,43/01/03/05,43/01/03/06,43/01/03/07,43/01/03/09,43/03,47,47/01,47/01/01,99

@DATA
0.141,1.06,0.21,-0.409,1.578,1.013,1.109,?,-1.706,-1.019,-0.132,-0.322,0.133,01/07/01
-0.09,-0.118,-0.069,-0.43,0.618,0.662,0.22,0.537,?,?,-0.119,?,1.211,01/07/01@16/21/17
?,-0.074,-0.241,-0.592,?,0.27,-0.3,?,?,-1.283,-0.968,-0.549,1.391,01/07/01
0.036,-0.094,-0.14,-0.304,-0.506,-1.103,-0.675,0.22,-1.924,-2.459,-2.287,-1.283,-1.463,01/01/11/02/01@01/01/11/02/02@01/01/11/03/01@01/01/11/03/02@01/01/11/04/01@01/01/11/04/02@01/02/02@10/03/01/01/03@16/21/17
-0.43,-0.421,-0.1,-0.037,-0.582,-0.181,0.27,0.43,-0.477,-0.552,-0.281,0.443,-0.225,16/09@30/01/05/05/01@40/01@42/04@43/01/03/05
0.033,0.072,-0.26,-0.199,0.391,-0.084,0.21,0.036,-0.771,-0.684,-0.429,0.267,-0.424,99
-0.034,0.01,0.322,-0.357,?,-0.234,0.292,?,0.029,?,0.104,?,0,18/02/01/01/01@18/02/05@30/01/05/05/01@34/11/03/07@40/01/03@42/04@42/29@43/01/03/05
-0.2,-0.22,0.05,-0.01,0.28,0.1,0.02,0.06,0.367,-0.05,-0.32,0,-0.04,01/05/25@30/01/05/05/01@34/11/03/07@40/01/03@42/04/03@43/01/03/05
-0.25,-0.05,0.14,-0.21,-0.07,0.26,0.57,0.51,-0.31,0.25,0.09,-0.889,0.21,16/09@30/01/05/05/01@40/01@42/04@43/01/03/05
-0.07,-0.24,-0.112,-0.16,-0.731,-0.693,0.393,?,-0.66,-0.53,-0.39,-0.301,-0.515,01/04@10/03/01/03@10/03/03@14/07/03@42/29@43/01/03/05
-0.04,-0.49,0.04,0.17,0.276,-0.07,0.21,0.28,-0.07,0.04,-0.45,-0.02,-0.13,99
-0.21,-0.333,0.36,0.412,-0.121,-0.226,-0.246,-0.445,-0.654,-1.212,-1.286,-0.471,0.298,01/03/01@01/03/13@01/04@01/05/13@01/05/25@10/03/01@10/03/03@16/01@16/03@16/19/05@30/01/05/05/01@30/01/09/07@32/01@34/11/12@40/01@40/10@40/20@42/04/03@43/01/03/05@43/01/03/09
-0.541,-0.442,0.027,0.403,0.229,0.081,-0.017,0.15,0.132,0.329,-0.125,-0.287,-0.156,43/01/03/05
-0.1,0.1,0.692,-0.16,0.249,0.27,0.02,0.23,0.31,-0.3,-0.29,0.228,0.04,14/07/11@14/13/01@16/17@41/01/01@43/01/03/05
-0.15,-0.178,-0.17,-0.068,-0.21,-0.526,0.106,0.832,0.038,-0.287,-0.087,0.39,-0.113,43/01/03/05
0.491,0.447,-0.102,-0.124,0.247,0.218,-0.231,0.324,-0.707,-0.297,-0.633,-0.356,-0.079,16/01@16/07@30/01/05/05/01@42/04/03@43/01/03/05
-0.12,-0.19,-0.259,-0.07,0.05,-0.14,0.232,-0.301,0.18,-0.39,-0.15,0.032,0.05,99
0.245,-0.197,-1.183,-0.553,0.351,0.124,0.128,0.69,-1.787,-1.061,0.092,?,-0.012,01/04@01/05/07@01/06@16/19/03@32/01
0.94,1.558,?,0.693,0.854,0.718,0.436,-0.034,3.093,1.632,1.585,?,-0.171,01/04@01/05/07@01/06@16/19/03@32/01
0.167,0.17,0.12,0.344,0.362,0.422,-0.272,-0.265,0.461,0.264,0.01,-1.144,-0.864,11/02/03/04
0.25,0.24,0.01,-0.19,0.66,0.26,0.3,0.05,0.07,0.16,-0.31,0.41,0.69,01/03/10@10/03/01@10/03/02@30/01/05/05/01@30/01/09/07@34/11/12@43/01/03/09
-0.05,-0.07,-0.494,-0.36,-0.11,0.3,0.027,0.164,0.5,0.26,-0.25,?,-0.53,10/03/01/01/11@14/07/05@14/10@14/13/01/01@16/01@16/19/03
-0.243,-0.392,0.05,0.331,0.015,-0.096,0.028,0.299,0.205,0.21,0.04,0.026,-0.206,10/03/01/01/11@14/07/05@14/10@14/13/01/01@16/01@16/19/03
0.611,0.217,-0.189,-0.331,-0.743,-0.548,0.208,0.14,-1.386,-0.726,-0.401,?,0.489,10/01/03@10/03/01/01/03@10/03/01/01/09@10/03/02@18/02/01
0.597,0.072,0.337,1.222,0.509,0.248,-0.03,-0.399,0.385,0.715,0.608,-0.161,0.265,10/03/01@10/03/05/01@14/01@16/01@32/01/07@42/04/05
-0.549,-0.598,0.157,0.004,-0.337,0.068,0.104,0.241,0.125,0.218,0.483,-0.162,0.588,01/05/25@02/19@18/02/01
0.126,-0.13,-0.527,0.015,0.04,0.034,0.021,0.239,0.458,0.289,-0.052,?,0.071,01/04/04@11/02/03/04@18/02/01
0.235,0.401,0.072,-0.244,?,-0.405,0.329,-0.067,-0.268,0.679,-0.598,?,-0.636,01/05/25@02/19@18/02/01
-0.67,-0.76,-0.27,-0.51,-0.24,-0.63,-0.21,0.74,0.06,-0.15,-0.28,0.16,-0.34,10/03/01@18/02/01
-0.13,-0.14,-0.164,0.22,-0.098,-0.221,-0.182,0.086,0.31,0.14,0.01,-0.285,-0.009,01/04@10/03/01/02@10/03/01/03@14/07/03@32/01/09
0.095,0.186,-0.401,-0.132,?,-0.405,0.492,0.44,-0.239,-0.476,-0.356,0.005,0.415,10/03/01@18/02/01
-0.38,-0.28,-0.03,-0.57,-0.699,-0.94,0,0.4,-1.53,-0.89,-0.72,0.5,-0.01,10/01/03@10/03/01/01@18/02/01@34/11/03/07@40/01@42/04@43/01/03/05
0.15,0.401,0.15,0.02,0.41,-0.05,-0.3,-0.27,-0.489,-0.55,-0.493,-0.39,-0.23,10/03/01@18/02/01
-0.466,-0.614,0.191,-0.26,-0.303,-0.384,-0.174,-0.118,-0.289,-0.277,-0.296,-0.158,0.093,10/03/01/01/05@10/03/01/01/09@18/02/01
-0.027,0.245,0.193,0.101,0.011,-0.42,0.433,0.475,0.39,0.261,-0.092,0.606,0.061,01/04@10/03/01@10/03/04/07@11/02/03/04@14/07/03
0.077,-0.015,-0.03,0.173,?,-0.374,0.148,0.197,-0.549,-0.552,-0.867,0.03,-0.292,01/04@10/03/01/01/09@10/03/01/03@10/03/02@14/07/03@18/02/01@40/01@42/04@43/01/03/05
0.16,0.019,0.053,?,0.506,0.224,0.619,0.253,-0.228,-0.133,-0.755,0.047,-0.065,01/04@10/03/01/01/09@10/03/01/03@14/07/03@43/01/03/05
0.027,0.355,0.213,-0.055,1.091,0.574,0.368,0.006,0.757,?,?,0.654,0.456,10/01/09/05@10/03/01@16/01@32/01@40/01@40/20@42/04@43/01/03/05
-0.088,-0.025,0.09,0.068,0.397,0.253,0.239,0.735,0.416,0.356,-0.275,0.537,-0.071,01/04/04@10/03/01@16/01@18/02/01/02/05@34/11/03/07@40/01
0.15,0.4,0.153,-0.15,0.07,-0.1,0.289,0.651,0.28,0.03,-0.59,0.363,-0.1,10/03/01/02@18/02/01/01/05
-0.56,-0.12,0.78,-0.38,-0.56,0.16,0.28,0.28,-1.25,-0.02,-0.11,-0.29,0.21,01/04@10/03/01@10/03/03@14/07/03
0.26,0.36,-0.18,0.38,0.16,0,0.16,-0.07,-0.15,-0.14,0.15,0.09,-0.12,01/04@10/03/01@10/03/02@14/07/03
0.058,0.196,0.211,0.37,0.427,0.265,0.168,0.476,0.069,0.277,-0.168,0.507,-0.027,01/04@10/03/01@14/07/03@34/11/03/07@40/01
0.587,0.722,-0.002,0.547,0.048,0.083,0.187,-0.039,0.37,0.519,0.381,?,-0.323,01/02@01/04@01/05/25@02/19@10/01/09/05@10/03/01/01/03@10/03/01/03@10/03/02@10/03/03@10/03/04/05@11/02/03/01/07@11/04/01@12/07@14/07/03@16/01@16/17/09@18/01/01@18/02/01@30/01/05/01/04@32/01/05@34/11/09@40/01@42/01@42/04/03@42/04/05@42/29@43/01/03/05
0.451,0.476,-0.019,0.129,-0.014,-0.181,0.581,-0.197,0.46,0.831,0.249,-0.087,-0.477,01/02@01/04@01/05/25@02/19@10/01/09/05@10/03/01/01/03@10/03/01/03@10/03/02@10/03/03@10/03/04/05@11/02/03/01/07@11/04/01@12/07@14/07/03@16/01@16/17/09@18/01/01@18/02/01@30/01/05/01/04@32/01/05@34/11/09@40/01@42/01@42/04/03@42/04/05@42/29@43/01/03/05
-0.343,-0.349,0.49,0.477,-0.449,-0.83,-0.196,-0.051,-0.392,-1.197,-0.478,-0.191,0.087,01/02@01/04@01/05/25@02/19@10/01/09/05@10/03/01/01/03@10/03/01/03@10/03/02@10/03/03@10/03/04/05@11/02/03/01/07@11/04/01@12/07@14/07/03@16/01@16/17/09@18/01/01@18/02/01@30/01/05/01/04@32/01/05@34/11/09@40/01@42/01@42/04/03@42/04/05@42/29@43/01/03/05
-0.885,-0.857,0.15,0.1,0.312,0.179,0.322,0.266,-0.187,-1.117,-0.207,0.791,?,01/04@10/03/01/01/03@14/07/03@30/01/05/01@43/01/03/05
-0.465,-0.401,0.505,0.065,0.071,-0.191,0.419,0.574,0.512,-0.012,-0.162,0.677,-0.112,01/04@10/03/01/01/03@14/07/03@30/01/05/01@43/01/03/05
-0.17,0.12,0.21,0.14,0.19,0.18,0.24,0.56,-0.01,-0.14,-0.23,?,-0.05,10/03/01/03@20/09/01
0.09,0.06,0.12,0.04,0.08,0.05,0.67,0.43,0.28,0.08,-0.09,0.195,-0.1,10/03/01/01/03@11/02/03/04
-0.04,-0.226,0.508,0.282,0.017,-0.185,0.24,0.496,0.151,0.321,-0.134,-0.071,-0.54,10/01/03@10/01/05@10/03/01/01/03@10/03/02@11/02/03/01@11/02/03/04@16/01@18/02/09@42/01
-0.59,-0.501,-0.107,-0.142,-0.342,-0.698,-0.227,0.089,-0.218,-0.33,-0.263,-0.353,0.157,01/02@01/04@01/05/25@02/19@10/01/09/05@10/03/01/01/03@10/03/01/03@10/03/02@10/03/03@10/03/04/05@11/02/03/01/07@11/04/01@12/07@14/07/03@16/01@16/17/09@18/01/01@18/02/01@30/01/05/01/04@32/01/05@34/11/09@40/01@42/01@42/04/03@42/04/05@42/29@43/01/03/05
0.08,-0.1,0.161,-0.78,0.024,-0.013,-0.171,-0.034,0.11,-0.16,-0.46,-0.256,-0.253,10/03/01/01/01@11/02/03/04@20/01/13@30/05/01@43/01/03/05
-1.557,-2.807,-0.168,-0.354,-0.732,-1.749,0.096,0.38,0.702,0.951,0.423,1.019,-0.001,01/05/03@10/03/01@10/03/03@40/01
0.293,0.11,?,-0.009,-0.265,0.034,0.063,0.416,-0.528,-1.509,-0.869,0.101,-0.306,01/04@10/03/01/03@10/03/03@14/07/03@42/29@43/01/03/05
0.373,0.285,-0.065,0.863,0.104,0.112,0.258,0.063,-0.213,-0.219,0.432,0.53,-0.136,01/04@11/02/03/04@14/07/03
-0.393,-0.501,0.228,0.158,-0.013,0.257,-0.436,0.474,0.415,0.484,0.083,0.048,-0.128,10/01/03@10/03/01@11/04/03/01@14/10@16/01
-0.107,-0.255,0.344,-0.352,0.056,?,0.61,0.274,?,-0.757,?,-0.589,-0.263,99
-0.04,-0.437,-0.093,-0.019,-0.347,-0.715,-0.165,0.202,-0.433,-0.816,-0.738,?,-0.179,10/03/01/03
0.111,0,-0.127,0.063,-0.105,0.501,0.033,0.419,0.39,0.269,-0.158,-0.454,-0.075,10/01/05/01@10/03/01/03@10/03/02@32/01
0.06,0.02,-0.03,-0.368,0.23,0.47,0.41,0.032,-0.32,-0.27,-0.16,0.105,-0.27,10/03/01/01/11@10/03/04/07@14/07/05@14/10@14/13/01/01@16/01@16/19/03@20/09/01@42/10
-0.422,-0.274,?,0.13,-0.529,-0.483,-0.169,0.183,-0.227,-0.347,-0.651,0.199,0.092,11/04@16/03/03@20/01/21@34/11/03/07
0.209,0.258,-0.48,-0.264,0.445,0.109,0.97,?,0.307,0.257,-0.178,?,-0.106,16/03/03@40/01/05@43/01/03/05
-0.631,-0.962,-0.252,-0.236,0.249,-0.056,0.059,0.426,-0.292,-0.113,-0.316,0.911,-0.33,16/03/03@40/01/05@43/01/03/05
-0.458,0,-0.12,-0.624,0.235,?,?,?,0.364,0.02,-0.313,?,-0.375,01/05/03@02/19@42/01@43/01/03/09
0.24,0.26,0.05,0.37,0.45,0.21,0.06,0.08,0.75,0.63,0.24,-0.11,0.031,01/05/03/03/04@20/09/07@42/01
-0.64,-0.67,-0.5,-0.58,-0.28,0.37,0.78,0.422,-1.32,-0.57,-0.5,?,0.24,01/05/03@10/03/03@32/01/03@42/01@43/01/03/05
-0.01,0,-0.22,-0.77,-0.05,0.3,0.752,?,0.6,-0.28,-0.15,0.113,0.19,01/05/09/04@42/01
-0.31,-0.31,0.203,0.03,0.34,-0.03,0.142,?,0.84,0.14,0.1,-0.222,0.23,01/05/03/03/04@01/05/25@10/03/03@18/02/01/01@32/01/03@40/01@42/01@42/04@43/01/03/05
0.197,0.447,0.36,0.131,0.02,-0.26,-0.532,-0.071,0.898,0.226,0.419,-0.219,-0.226,01/05@42/01
0.299,0.264,-0.19,-0.076,?,-0.077,-0.003,-0.144,0.691,0.162,0.422,0.013,0.223,01/05/03/03/04@20/09/07/03@42/01
0.289,0.435,0.191,-0.089,0.065,-0.328,-0.145,0.097,0.526,0.488,0.366,0.423,0.183,01/05@34/11/03/07@40/01@42/01@43/01/03/09
-0.663,-0.561,0.48,0.27,0.288,0.153,-0.086,0.193,-0.207,-0.697,-0.945,-0.171,-0.116,01/05/03@01/05/25@02/19@42/01
-1.09,-0.82,0.716,-0.13,-0.54,-0.29,-1.214,0.58,-0.923,-1.476,-1.026,?,0.45,12/01@42/01
-0.47,-0.4,-0.398,-0.52,0.27,0.38,0.423,0.21,0.043,-0.201,0.122,0.225,0.86,42/01
-0.2,-0.13,0.038,0.07,-0.14,-0.02,-0.268,-0.093,-0.775,-1.151,-1.4,0.135,-0.5,10/03/02@42/01@43/01/03/09
0.11,0.01,-0.125,0.27,-0.126,-0.321,-0.104,-0.244,0.5,0.4,0.29,-0.231,0.079,01/07/01@42/01
0.418,0.235,-0.206,-0.513,0.203,-0.012,0.106,-0.159,0.456,1.03,0.236,-0.495,-0.559,01/06@42/01
-0.017,-0.681,0.063,-0.792,-0.436,-0.328,-0.292,-0.442,-0.792,-0.151,0.301,0.054,0.33,42/01
0.502,0.495,-0.14,?,1.06,1.25,0.3,0.46,1.39,0.65,0.25,0.27,0.2,14/13@16/01@42/01
0.157,0.012,0.09,0.372,0.191,-0.247,0.099,0.2,-0.176,-0.186,-0.331,-0.085,-0.117,42/01
0.1,0.442,-0.401,-0.369,0.513,0.662,-0.191,0.178,1.424,1.199,0.69,0.201,-0.252,20/03@42/01
0.062,0.018,-0.095,-0.315,0.074,-0.339,0.149,-0.359,0.312,0.278,0.259,-0.6,-0.006,42/01
-0.078,0.08,?,0.501,-0.036,0.187,-0.392,0.013,0.226,-0.05,-0.445,-0.628,-0.225,99
-0.375,-0.102,-0.311,-0.526,0,0.458,0.075,?,0.735,1.05,0.351,?,-0.29,42/01
-1.235,-0.69,0.16,-0.38,-0.5,-0.02,-0.6,0.35,-1.071,-1.61,-1.42,0.62,-0.21,11/04/01@12/01@42/01
0.46,0.46,-0.08,0.037,0.719,0.634,0.248,0.822,1.27,0.949,0.456,?,-0.143,01/05@14/07/02/02@42/01
0.127,0.232,-0.294,-0.166,-0.1,-0.004,-0.159,-0.218,0.685,0.274,0.157,0.016,-0.536,99
0.142,0.14,0.117,0.233,0.8,0.61,0.42,?,1.35,1.038,0.303,?,0.323,01/05/03@02/19@14/07/02@40/01
0.14,-0.11,0.04,-0.46,-0.15,0.12,-0.01,-0.12,1.43,1.55,0.78,-0.922,-0.63,42/01
-0.364,-0.015,-0.344,-0.135,-0.16,-0.11,0.16,-0.18,-0.344,-0.7,-0.6,0.036,-0.21,01/05/03@01/05/25@02/19@42/01@43/01/03/05
0.06,0.09,0.132,0.3,0.34,-0.05,-0.209,0.488,0.68,0.51,0.01,?,-0.22,11/04/03/01@42/01
-0.83,-0.663,0.23,-0.14,-0.145,0.424,0.35,0.65,-0.74,-0.73,-0.55,0.333,-0.29,01/04@02/45/11@10/03/01/01/11@10/03/03@10/03/04/09@16/01@16/19/03@20/09/14/02@20/09/16/09/03@32/01/03@34/05/01@34/05/02@40/01/03/01@40/01/03/03@42/02@42/04@42/27/01@43/01/03/05
0.312,0.597,-0.53,-0.543,-0.421,-0.926,0.05,-0.33,-0.964,0.054,-0.442,0.21,-0.91,30/01/05/05/01@30/05/01@32/01/05@34/11/09@42/01@42/04/03
0.2,0.28,-0.352,-0.08,0.043,-0.214,-0.298,0.538,-0.34,-0.54,-0.51,-0.077,-0.045,10/01/09/05@10/03/01@11/02/03/04
-0.364,-0.491,0.17,0.33,-0.087,-0.067,-0.402,-0.324,-0.626,-0.924,-0.397,-0.427,-0.348,10/01/09/05@10/03/01@11/02/03/04
-0.124,-0.411,-0.554,-0.183,-0.154,-0.184,0.255,0.93,-0.06,-0.156,0.041,?,-0.175,10/01/09/05@10/03/01/01/09@42/10/03
-0.329,-0.504,0.283,0.18,-0.207,-0.477,-0.322,0.045,0.259,0.121,-0.224,-0.077,-0.078,10/01/09/05@42/10/03
-0.571,-1.014,0,0.158,-0.081,-0.621,0.157,0.108,-0.21,-0.399,-0.448,0.176,-0.231,10/01/09/05@10/03/01/01/09@42/10/03
-0.36,-0.536,0.162,0.706,0.306,0.218,0.392,0.034,-0.099,-0.084,-0.164,0.102,-0.516,99
0.13,0.149,0.215,0.722,0.282,0.144,-0.04,-0.234,-0.34,0.123,0.033,-0.253,-0.254,10/01/09/05@11/02/03/01@11/02/03/04@14/07/04@18/02/09@34/11/03/07@41/01/01@42/10/03@43/01/03/05@43/01/03/09
0.526,0.453,-0.042,-0.269,-0.018,1.485,0.102,0.054,-1.542,?,-0.71,?,-0.436,10/01/09/05@14/07/04@42/10/03
0.16,0.077,0.135,0.014,-0.1,0.16,0.012,0.126,-0.499,-0.438,-0.328,?,-0.231,10/01/09/05@11/02/03/01@11/02/03/04@14/07/04@18/02/09@42/10/03
0.053,-0.049,0.554,0.451,0.082,0,0.055,-0.09,0.629,0.495,-0.117,0.095,-0.205,10/01/09/05@14/07/04@42/10/03
-0.319,-0.372,-0.097,-0.066,0.171,-0.121,-0.11,?,0.048,0.233,-0.279,-0.034,-0.106,10/01/09/05@11/02/03/04@14/07/04@40/20
-0.99,-1.35,0.522,0.37,-1.74,-1.82,-0.291,-0.972,-1.09,-0.63,-1.06,-0.838,0.08,10/01/02@10/01/05/01@10/01/05/03@10/01/09/05@10/03/01/03@10/03/02@10/03/04/03@11/02/03/04@16/01@16/03/01@32/01/09@42/10/03
-1.004,-1.498,0.352,0.13,-1.888,-0.7,-0.384,-0.573,-0.533,-0.324,-0.585,-0.352,0.249,10/01/09/05@10/03/04/03@11/02/03/04@16/01@16/03/01@42/10/03
