@RELATION 'pheno0.names'

@ATTRIBUTE chip_affymetrix_chip                    {A,B,C,D,A-D}
@ATTRIBUTE pp_number_of_probe_pairs                numeric
@ATTRIBUTE a_fy4_a                                 numeric
@ATTRIBUTE alpha_fy5_alpha                         numeric
@ATTRIBUTE gal_gal                                 numeric
@ATTRIBUTE heat_heat                               numeric
@ATTRIBUTE rel_alpha_fy5_alpha                     numeric
@ATTRIBUTE rel_gal_gal                             numeric
@ATTRIBUTE rel_heat_heat                           numeric
@ATTRIBUTE avg_abund                               numeric
@ATTRIBUTE median_deviation_of_log_fc_gal          numeric
@ATTRIBUTE sig_gal                                 numeric
@ATTRIBUTE sig_and_fc_gal                          numeric
@ATTRIBUTE median_deviation_of_log_fc_fy5_alpha    numeric
@ATTRIBUTE sig_fy5_alpha                           numeric
@ATTRIBUTE sig_and_fc_fy5_alpha                    numeric
@ATTRIBUTE median_deviation_of_log_fc_heat         numeric
@ATTRIBUTE sig_heat                                numeric
@ATTRIBUTE sig_and_fc_heat                         numeric
@ATTRIBUTE thrshld_1=below_detection_fy4_a         numeric
@ATTRIBUTE thrshld_1=below_detection_fy5_alpha     numeric
@ATTRIBUTE thrshld_1=below_detection_gal           numeric
@ATTRIBUTE thrshld_1=below_detection_heat          numeric
@ATTRIBUTE thrshld_gal                             numeric
@ATTRIBUTE thrshld_fy5_alpha                       numeric
@ATTRIBUTE thrshld_heat                            numeric
@ATTRIBUTE below_threshold_in_all_conditions       numeric
@ATTRIBUTE class string
@DATA
A,43,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000017@GO0000023@GO0005351@GO0005355@GO0005363@GO0005886@GO0008643@GO0015144@GO0015151@GO0016021@GO0046323@GO0055085
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000462@GO0003723@GO0004004@GO0005524@GO0005730@GO0005737@GO0008380@GO0010468@GO0010501@GO0030688@GO0071013@GO0097078
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.04,0.0,0,1,1,1,1,5,5,5,1,GO0000407@GO0000422@GO0000741@GO0005874@GO0006914@GO0007059@GO0015031@GO0034727@GO0044805@GO1990316
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000978@GO0001077@GO0005634@GO0008270@GO0009085@GO0045944@GO2001196
A,21,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000775@GO0001100@GO0003688@GO0005634@GO0006270@GO0006279@GO0007059@GO0008270@GO0031431@GO0033314@GO0043539@GO0045860@GO0051301@GO0060903@GO0071902@GO1903468
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.08,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000082@GO0000086@GO0000209@GO0004842@GO0005524@GO0005634@GO0005737@GO0006260@GO0006511@GO0019005@GO0031146@GO0031625@GO0042803@GO0051301@GO0051865
A,21,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000502@GO0004843@GO0005768@GO0006275@GO0006511@GO0006897@GO0010992@GO0010995@GO0016579@GO0031902@GO0043162@GO0070676@GO1904669
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000150@GO0000400@GO0000707@GO0000730@GO0003690@GO0003697@GO0005524@GO0005634@GO0005657@GO0006312@GO0007131@GO0008094@GO0010212@GO0030491@GO0033062@GO0033063@GO0042148@GO0046982
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000781@GO0005730@GO0006364@GO0016433@GO0030686@GO0031167@GO0042273
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000122@GO0000978@GO0001077@GO0001078@GO0001300@GO0005634@GO0005829@GO0016577@GO0045944@GO0046872@GO0051864@GO0060275@GO0071071
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000278@GO0003774@GO0005200@GO0005737@GO0005869@GO0005874@GO0030286
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000070@GO0000725@GO0001100@GO0005634@GO0005737@GO0005819@GO0006974@GO0007127@GO0008104@GO0019899@GO0051301
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0005680@GO0005737@GO0007049@GO0016567@GO0030071@GO0031145@GO0034399@GO0051301
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0005737@GO0006457@GO0007329@GO0008616@GO0009968@GO0031683
A,21,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0003682@GO0003723@GO0005634@GO0005829@GO0005847@GO0006470@GO0030846@GO0031124@GO0031126@GO1900364@GO1901901@GO1903501
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0005737@GO0005876@GO0008608@GO0031116@GO0042729@GO0051301@GO0051987@GO1990758
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.1,0.0,0,0.33,0.0,0,0.03,0.0,0,1,1,1,1,5,5,5,1,GO0000184@GO0000781@GO0000932@GO0004540@GO0005697@GO0005737@GO0006310@GO0006406@GO0007004@GO0017148@GO0042162@GO0043021@GO0043487@GO0070034
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000978@GO0001077@GO0005634@GO0008270@GO0016020@GO0035961@GO0035969@GO0045944@GO0048471@GO0071456@GO1904741
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0005198@GO0005525@GO0005619@GO0005628@GO0005876@GO0005935@GO0030437@GO0031105@GO0051301@GO0072687
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000384@GO0000395@GO0003723@GO0004004@GO0005524@GO0005682@GO0005730@GO0005737@GO0010501
A,21,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0005634@GO0016279@GO0018026
A,21,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000122@GO0000981@GO0001010@GO0003677@GO0005634@GO0006351@GO0045944
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0005507@GO0005524@GO0005794@GO0006825@GO0006879@GO0012510@GO0016021@GO0019829@GO0055085@GO0060003
A,21,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000462@GO0005730@GO0006364@GO0015031@GO0016192@GO0032040
A,21,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000329@GO0004842@GO0005770@GO0010008@GO0016567@GO0032266@GO0046872
A,21,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0005634@GO0005737@GO0043161
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000812@GO0003677@GO0004386@GO0005198@GO0005524@GO0005634@GO0005829@GO0006338@GO0006351@GO0006355@GO0043486
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0005794@GO0015031@GO0031505
A,21,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000022@GO0000742@GO0005200@GO0005634@GO0005822@GO0005823@GO0007020@GO0051259@GO1902481
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000723@GO0003677@GO0003691@GO0005634@GO0005654@GO0006284@GO0006303@GO0030435@GO0030674@GO0030870@GO0035753@GO0042138@GO0042162@GO0043047@GO0051880@GO0097552
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0005096@GO0007264@GO0031106@GO0032177@GO0043087@GO0046872
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0004497@GO0005506@GO0016491@GO0016705@GO0020037@GO0030476
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0003824@GO0030476
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0003684@GO0003887@GO0005634@GO0005657@GO0005739@GO0006260@GO0007059@GO0007064@GO0042276@GO0046872@GO0070987
A,21,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000183@GO0005634@GO0005730@GO0033551@GO0034503@GO0045143@GO0051455@GO0070550@GO1990414
A,21,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000124@GO0000183@GO0000781@GO0001786@GO0003677@GO0003682@GO0003700@GO0003713@GO0005671@GO0006325@GO0006338@GO0006348@GO0006351@GO0006357@GO0008270@GO0016573@GO0035066@GO0046695@GO1990414
A,20,0.1,0.0,0.1,0.1,0.0,0.0,0.0,0.07,0.09,0.0,0,0.33,0.0,0,0.02,0.0,0,1,1,1,1,5,5,5,1,GO0000398@GO0005681@GO0046540
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0005524@GO0005739@GO0006626@GO0042026@GO0042645@GO0051082
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0019594@GO0046029@GO0050662
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000350@GO0000390@GO0003723@GO0004004@GO0005524@GO0005737@GO0071007@GO0071021
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0001676@GO0004467@GO0005524@GO0005739@GO0005777@GO0006635@GO0015910@GO0015916@GO0031956@GO0031957@GO0042760@GO0102391
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000122@GO0000978@GO0001080@GO0001085@GO0001228@GO0003682@GO0003700@GO0005634@GO0005667@GO0005829@GO0008270@GO0030154@GO0036278@GO0042128@GO0045944@GO2001159
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0005622@GO0006612@GO0016491
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0003684@GO0003905@GO0005634@GO0006285@GO0006307@GO0008725@GO0032131@GO0032993@GO0043916@GO0052821@GO0052822
B,21,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000122@GO0001078@GO0005634@GO0006351@GO0010507@GO0016577@GO0032454@GO0032968@GO0043565@GO0046872@GO0051864
B,21,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000070@GO0000217@GO0003680@GO0003682@GO0003690@GO0005524@GO0006302@GO0007064@GO0016887@GO0034990@GO0042802@GO0046982@GO0051301
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0005351@GO0005355@GO0016020@GO0016021@GO0022857@GO0046323@GO0055085
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0005096@GO0005622@GO0007264
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0005886@GO0016021
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000978@GO0001012@GO0001077@GO0001228@GO0005634@GO0008270@GO0061410@GO0061414
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0006081@GO0018456
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000055@GO0005643@GO0006606@GO0006999@GO0016973@GO0017056@GO0031965@GO0044612@GO0044615@GO0051292
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000082@GO0005737
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0004121@GO0005737@GO0006790@GO0009086@GO0019450@GO0030170@GO0047804@GO1990414
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0001671@GO0005739@GO0005743@GO0005758@GO0005759@GO0009060@GO0016226@GO0051087@GO0051259@GO0097428
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000794@GO0003690@GO0007129@GO0007131
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0003677@GO0003700@GO0005634@GO0006351@GO0006357@GO0009408@GO0032007@GO0032993@GO0043565@GO0045944@GO0070202
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000741@GO0005198@GO0005635@GO0005737@GO0005816@GO0016021@GO0030474@GO0031965@GO0071988
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0003677@GO0003682@GO0004842@GO0005634@GO0005737@GO0006351@GO0016574@GO0036205@GO0043619@GO0046872
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000014@GO0000706@GO0000723@GO0000729@GO0000737@GO0003690@GO0004520@GO0005654@GO0005737@GO0010791@GO0030870@GO0031292@GO0031860@GO0035306@GO0042138@GO0042802@GO1905779
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0006325@GO0006351@GO0006355@GO0016575@GO0017136@GO0032041@GO0032874@GO0034399@GO0034967@GO0045129@GO0045835
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0003995@GO0003997@GO0005782@GO0006635@GO0033539@GO0033540@GO0050660@GO0071949
B,21,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000149@GO0000329@GO0000407@GO0005484@GO0006906@GO0012505@GO0016021@GO0016236@GO0031201@GO0032258@GO0032266@GO0034727@GO0042144@GO0048278@GO0061909
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0005634@GO0005737@GO0006808@GO0034657@GO0043161@GO0045721
B,21,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0005680@GO0005737@GO0007049@GO0030234@GO0031145@GO0031497@GO0051301@GO0070979@GO1904668
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0005634@GO0005635@GO0005643@GO0005737@GO0005829@GO0006606@GO0008536@GO0008565@GO0051028
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000244@GO0000387@GO0000398@GO0003723@GO0005687@GO0046540@GO0071011
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000122@GO0000414@GO0000433@GO0000991@GO0001073@GO0001178@GO0003677@GO0005634@GO0006325@GO0006334@GO0006338@GO0006342@GO0008023@GO0016973@GO0031440@GO0031491@GO0031564@GO0032968@GO0034728@GO0035327@GO0042393@GO0042789@GO0043618@GO0045944@GO0060303@GO0070827@GO0071931
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000398@GO0000974@GO0005634@GO0005829@GO0071004@GO0071006@GO0071007@GO0071008
B,21,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0002181@GO0003676@GO0003724@GO0004004@GO0005524@GO0005730@GO0006417@GO0010494@GO0010501@GO0051607
B,21,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000017@GO0000023@GO0005352@GO0005355@GO0005364@GO0015574@GO0015768@GO0015771@GO0016021@GO0046323@GO0046352
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0016021@GO0071555
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.04,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0003850@GO0006006@GO0046872
B,21,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0005886@GO0006811@GO0015297@GO0015893@GO0016021
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000027@GO0000463@GO0000747@GO0005730@GO0019843@GO0030687
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0003735@GO0005763@GO0019888@GO0032543@GO0051723@GO0052689@GO1990577
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0005741@GO0006626@GO0008320@GO0031307
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.03,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000122@GO0000723@GO0000781@GO0003723@GO0006348@GO0016279@GO0018024@GO0018027@GO0030437@GO0030466@GO0035066@GO0042054@GO0043618@GO0044648@GO0045944@GO0048188@GO0051568@GO0080182@GO1902275@GO1903341
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000002@GO0000403@GO0000406@GO0003684@GO0005524@GO0005739@GO0006281@GO0006298@GO0007005@GO0008094@GO0032137@GO0032139@GO0032302@GO0043504
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000132@GO0003774@GO0005200@GO0005737@GO0005869@GO0005874@GO0007097@GO0016020@GO0030286@GO0031578
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0007130@GO0010520@GO0030437@GO0033235
B,21,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000014@GO0000706@GO0000723@GO0000729@GO0000733@GO0000784@GO0001302@GO0003677@GO0004003@GO0004518@GO0005524@GO0005634@GO0005737@GO0005829@GO0006261@GO0006273@GO0006281@GO0006974@GO0017108@GO0033567@GO0035861@GO0043139@GO0043142@GO0046872@GO0051539
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.07,0.0,0,0.1,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000244@GO0000350@GO0000389@GO0005634@GO0005682@GO0017070@GO0030619@GO0030620@GO0030623@GO0046540@GO0071013@GO0097157
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.03,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000777@GO0005680@GO0007049@GO0016567@GO0030071@GO0030332@GO0031145@GO0051301
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000447@GO0000472@GO0000480@GO0003723@GO0004004@GO0005524@GO0005654@GO0005730@GO0005737@GO0010501@GO0016887@GO0031167
B,21,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0004034@GO0006006@GO0030246@GO0033499
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000145@GO0000149@GO0005934@GO0005935@GO0006887@GO0006893@GO0015031@GO0035544@GO0042803@GO0051601@GO0090522
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000400@GO0000794@GO0000800@GO0005634@GO0007129@GO0007130@GO0046872@GO0051598
B,21,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0001558@GO0005546@GO0005886@GO0016197@GO0030036@GO0030950@GO0031929@GO0031932@GO0038203@GO0042802@GO0046625@GO0051017@GO0070941@GO0072659
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.06,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000019@GO0000112@GO0001111@GO0001113@GO0003677@GO0004003@GO0005524@GO0005634@GO0005675@GO0005829@GO0006366@GO0006367@GO0010525@GO0015616@GO0016973@GO0032508@GO0033683@GO0070816@GO0097550
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000778@GO0000780@GO0005200@GO0007020@GO0007059@GO0031262@GO0034501@GO0042802@GO0051301@GO0051315
B,21,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.07,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0003896@GO0005524@GO0005658@GO0006260@GO0006269@GO0006270@GO0006273@GO0043596@GO0046872
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000981@GO0001080@GO0001128@GO0001135@GO0001190@GO0003677@GO0005634@GO0008270@GO0045848@GO1901714@GO1901717
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0006807
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0000256@GO0004474@GO0005777@GO0005782@GO0006097@GO0006099@GO0006144@GO0009514
B,20,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.07,0.02,0.0,0,0.02,0.0,0,0.18,0.0,0,1,1,1,1,5,5,5,1,GO0004190@GO0005576@GO0006508@GO0009277@GO0030163@GO0031362@GO0031505
